ticker,count
eq.POET.US,942
eq.MOBX.US,935
eq.MSAI.US,921
eq.PERF.US,909
eq.NVNI.US,908
eq.GRND.US,902
eq.MLGO.US,880
eq.VIVO.US,851
eq.CORZ.US,840
eq.UPBD.US,838
eq.AMOD.US,835
eq.NXT.US,829
eq.CXAI.US,827
eq.MNTN.US,806
eq.NTRP.US,805
eq.TYGO.US,778
eq.LAES.US,769
eq.MRT.US,747
eq.PSQH.US,740
eq.CYCU.US,732
eq.ODD.US,723
eq.ALNT.US,716
eq.RDZN.US,695
eq.ARM.US,692
eq.KVYO.US,686
eq.VYX.US,678
eq.NATL.US,669
eq.TRAK.US,667
eq.OPTX.US,662
eq.AISP.US,632
eq.BTDR.US,591
eq.ATCH.US,589
eq.CCC.US,584
eq.ZEO.US,576
eq.CPAY.US,569
eq.GCTS.US,566
eq.ALAB.US,561
eq.PDYN.US,561
eq.VELO.US,551
eq.RBRK.US,538
eq.IBTA.US,528
eq.KSPI.US,523
eq.QXO.US,518
eq.AIOT.US,502
eq.RZLV.US,470
eq.WBTN.US,463
eq.HPAI.US,462
eq.CURR.US,458
eq.VEEA.US,444
eq.PENG.US,429
eq.INGM.US,390
eq.TSSI.US,390
eq.RMSG.US,386
eq.TTAN.US,378
eq.TBCH.US,372
eq.BZAI.US,368
eq.XYZ.US,364
eq.ZENA.US,362
eq.ACCS.US,359
eq.DVLT.US,346
eq.STRK.US,342
eq.LPTH.US,335
eq.SNDK.US,331
eq.AMBR.US,328
eq.WRD.US,314
eq.MCHPP.US,309
eq.LIF.US,309
eq.STRF.US,309
eq.BULL.US,307
eq.CRWV.US,307
eq.SKYA.US,294
eq.GTM.US,286
eq.STRC.US,281
eq.DFDV.US,274
eq.AMCI.US,265
eq.STRD.US,256
eq.CHYM.US,255
eq.DAIC.US,249
eq.RAL.US,242
eq.CMRC.US,231
eq.ALMU.US,227
eq.MYSE.US,225
eq.FIG.US,220
eq.BLSH.US,213
eq.TONX.US,210
eq.WYFI.US,199
eq.KLAR.US,194
eq.NTSK.US,188
eq.BTTC.US,188
eq.BTQ.US,181
eq.SLAI.US,176
eq.FUSE.US,174
eq.DUOT.US,163
eq.NAVN.US,158
eq.Q.US,156
eq.TWAV.US,140
eq.FORTY.US,131
eq.MTC.US,131
eq.CLRO.US,131
eq.CETX.US,131
eq.ORIO.US,125
eq.DFNS.US,100
eq.WLTH.US,98
eq.AMBQ.US,98
eq.INFQ.US,95
eq.GGRP.US,93
eq.SHAZ.US,86
eq.HQ.US,72
eq.KEEL.US,62
eq.PAYP.US,54
eq.P.US,53
eq.XNDU.US,50
eq.EFOR.US,48
eq.ZSQR.US,47
eq.AIFC.US,45
eq.CHRN.US,41
eq.BRUN.US,37
eq.RTB.US,35
eq.CBRS.US,24
eq.TOYO.US,23
eq.QNC.US,21
eq.ENRD.US,16
eq.WSE.US,14
eq.QNT.US,8
eq.MFI.US,4
